date,salary_credit,emi_debit,bill_debit,closing_balance
2024-04-18,14929,953,3257,39674
2024-05-18,20423,3174,544,56688
2024-06-17,36126,2670,3648,86438
2024-07-17,34119,3982,2147,115349
2024-08-16,28796,4063,524,138805
2024-09-15,26844,5380,2019,157955
2024-10-15,13010,2669,2021,165847
2024-11-14,18277,3551,2973,177942
2024-12-14,25805,3839,2324,197529
2025-01-13,21608,4501,1763,212279
2025-02-12,32774,1360,3023,240923
2025-03-14,18248,3641,1616,254317
2025-04-13,28828,4168,2465,276455
2025-05-13,34691,5086,1582,304883
2025-06-12,28440,3299,1682,328949
2025-07-12,23995,3925,2939,347346
2025-08-11,20913,3346,1980,362981
2025-09-10,26350,3022,1011,386174
