user_id,application_id,target,prob_good
U00000,APP00000,1,0.8
U00001,APP00001,1,0.791
U00002,APP00002,1,0.94
U00003,APP00003,1,0.93
U00004,APP00004,1,0.766
U00005,APP00005,1,0.946
U00006,APP00006,1,0.92
U00007,APP00007,1,0.936
U00008,APP00008,1,0.8
U00009,APP00009,1,0.906
U00010,APP00010,1,0.8
U00011,APP00011,1,0.95
U00012,APP00012,1,0.911
U00013,APP00013,1,0.926
U00014,APP00014,1,0.886
U00015,APP00015,1,0.946
U00016,APP00016,1,0.924
U00017,APP00017,1,0.942
U00018,APP00018,1,0.8
U00019,APP00019,1,0.912
U00020,APP00020,1,0.872
U00021,APP00021,1,0.859
U00022,APP00022,1,0.8
U00023,APP00023,0,0.904
U00024,APP00024,0,0.946
U00025,APP00025,0,0.95
U00026,APP00026,1,0.864
U00027,APP00027,1,0.924
U00028,APP00028,1,0.909
U00029,APP00029,1,0.914
U00030,APP00030,1,0.939
U00031,APP00031,1,0.934
U00032,APP00032,1,0.912
U00033,APP00033,1,0.888
U00034,APP00034,1,0.892
U00035,APP00035,1,0.916
U00036,APP00036,0,0.95
U00037,APP00037,0,0.919
U00038,APP00038,1,0.91
U00039,APP00039,1,0.8
U00040,APP00040,1,0.932
U00041,APP00041,1,0.94
U00042,APP00042,1,0.887
U00043,APP00043,1,0.95
U00044,APP00044,1,0.944
U00045,APP00045,1,0.8
U00046,APP00046,1,0.927
U00047,APP00047,1,0.95
U00048,APP00048,1,0.93
U00049,APP00049,1,0.95
U00050,APP00050,1,0.94
U00051,APP00051,1,0.892
U00052,APP00052,1,0.8
U00053,APP00053,0,0.8
U00054,APP00054,1,0.908
U00055,APP00055,1,0.797
U00056,APP00056,1,0.908
U00057,APP00057,1,0.753
U00058,APP00058,1,0.8
U00059,APP00059,1,0.95
U00060,APP00060,1,0.874
U00061,APP00061,1,0.92
U00062,APP00062,1,0.924
U00063,APP00063,1,0.896
U00064,APP00064,1,0.889
U00065,APP00065,1,0.896
U00066,APP00066,1,0.65
U00067,APP00067,1,0.902
U00068,APP00068,1,0.8
U00069,APP00069,1,0.924
U00070,APP00070,1,0.948
U00071,APP00071,1,0.929
U00072,APP00072,1,0.941
U00073,APP00073,1,0.917
U00074,APP00074,1,0.936
U00075,APP00075,1,0.864
U00076,APP00076,1,0.93
U00077,APP00077,1,0.917
U00078,APP00078,1,0.875
U00079,APP00079,1,0.922
U00080,APP00080,1,0.904
U00081,APP00081,1,0.948
U00082,APP00082,1,0.914
U00083,APP00083,1,0.908
U00084,APP00084,1,0.91
U00085,APP00085,0,0.8
U00086,APP00086,1,0.816
U00087,APP00087,1,0.8
U00088,APP00088,1,0.93
U00089,APP00089,1,0.908
U00090,APP00090,1,0.8
U00091,APP00091,0,0.757
U00092,APP00092,1,0.848
U00093,APP00093,1,0.932
U00094,APP00094,1,0.938
U00095,APP00095,1,0.919
U00096,APP00096,1,0.934
U00097,APP00097,1,0.742
U00098,APP00098,1,0.905
U00099,APP00099,1,0.8
U00100,APP00100,0,0.88
U00101,APP00101,1,0.944
U00102,APP00102,1,0.95
U00103,APP00103,1,0.816
U00104,APP00104,1,0.8
U00105,APP00105,1,0.8
U00106,APP00106,1,0.926
U00107,APP00107,1,0.925
